system:index,HAND,TWI,builtup,dist_water,elevation,flow_accum,impervious,slope,.geo
2155,5.9322586,10.115917501156758,0.48443455,860.2325267042627,9.872513,0.022054391,0.9754191419571109,0.49898148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20471477215803,12.98354030621367]}"
2156,6.5444584,9.997354832683719,0.575657,781.0249675906654,9.944458,0.016446864,1.0,0.42326775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20563677953061,12.98354312447713]}"
2157,5.9510193,10.805643213941842,0.49922052,707.1067811865476,9.573119,0.028797202,0.9980727392381554,0.37009084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20655878712051,12.98354593947217]}"
2158,4.871268,10.601345647235927,0.46835053,640.3124237432849,9.254179,0.023592085,0.8714893608218518,0.23364142,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20748079492753,12.983548751198786]}"
2159,4.6052947,10.546741764009335,0.5315161,583.0951894845301,9.005295,0.06014002,0.9882907794342066,0.74463373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2084028029514,12.983551559656973]}"
2160,3.0331862,11.137033251354442,0.487788,538.5164807134504,7.433186,0.09299413,0.8460184538094564,0.72297037,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.20932481119185,12.983554364846729]}"
2161,2.81952,10.716263876402316,0.48140296,509.9019513592784,7.21952,0.09650946,1.0,0.7549673,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21024681964866,12.98355716676805]}"
2162,2.0515227,10.868516376919178,0.53674513,500.0,6.451523,0.098096594,0.9940839559568214,0.5469918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21116882832155,12.98355996542093]}"
2163,2.225,11.33683009216658,0.53032726,500.0,6.723095,0.15942216,1.0,0.75117433,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21209083721028,12.983562760805372]}"
2164,2.6459348,10.098007081892636,0.50327194,447.21359549995793,7.5517445,0.06844144,1.0,0.6734956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2130128463146,12.983565552921364]}"
2165,0.979314,9.972806095408995,0.46555713,412.31056256176606,6.0793138,0.022830928,1.0,0.5705851,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21393485563425,12.983568341768908]}"
2166,1.3981905,9.338173271391096,0.56426364,400.0,6.4981904,0.035441775,1.0,1.0952762,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21485686516898,12.983571127348]}"
2167,3.4927921,9.65870963247266,0.49209636,412.31056256176606,8.592792,0.010220198,1.0,0.5219969,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21577887491854,12.983573909658636]}"
2168,3.8281066,8.442881874209355,0.500781,447.21359549995793,7.3281064,0.31452134,0.9833402282191295,1.644916,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21670088488268,12.983576688700811]}"
2169,0.52487075,16.425054623456557,0.37833598,500.0,4.024871,6.369134,0.9750103650004087,0.3892175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21762289506114,12.983579464474523]}"
2170,4.059927,9.264702254020971,0.38463455,565.685424949238,7.559927,0.029748905,0.7625358894445046,1.6611032,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21854490545368,12.983582236979768]}"
2171,6.0529966,9.179244805084956,0.4549127,640.3124237432849,9.552997,0.01366451,0.8043104126677055,0.9166745,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.21946691606004,12.983585006216542]}"
2172,6.6422477,10.277490143154022,0.46986538,721.1102550927978,10.142248,0.013737229,0.8670713222758228,0.3724198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22038892687996,12.983587772184842]}"
2173,5.514211,10.931653295621043,0.41643864,806.2257748298549,10.146311,0.013252393,0.9080223530523501,0.1726867,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2213109379132,12.983590534884666]}"
2174,1.7236987,11.106944401715925,0.3637757,894.4271909999159,10.212549,0.013633295,0.9697291364475268,0.12047844,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2222329491595,12.983593294316005]}"
2175,0.5360581,10.525530522987548,0.37468845,984.8857801796104,10.436059,0.014505491,0.9833402866973668,0.2648918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22315496061861,12.983596050478862]}"
2176,5.723527,9.930173973316405,0.4520745,1077.0329614269008,10.941228,0.008944773,0.9660338046691267,0.27873915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22407697229029,12.983598803373232]}"
2177,8.993291,9.33153541630428,0.5255625,1170.4699910719626,11.196312,0.008333549,1.0,0.59013194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22499898417428,12.98360155299911]}"
2178,7.713048,9.884854505402068,0.48675007,1118.033988749895,9.913048,0.03406465,0.9901018201781505,0.8443787,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22592099627032,12.983604299356491]}"
2179,8.309168,9.427215381224379,0.39385197,1029.5630140987,10.509168,0.0126494225,0.9435599745068419,0.5749792,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22684300857816,12.983607042445374]}"
2180,8.307336,10.907244671324746,0.39516908,943.3981132056604,10.507336,0.077278055,0.7468827708900152,0.36287722,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22776502109755,12.983609782265756]}"
2181,8.037673,13.205922378591184,0.48712173,860.2325267042627,10.322347,0.1400769,1.0,0.07158454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22868703382825,12.983612518817631]}"
2182,8.0292425,10.92488065402471,0.53518903,781.0249675906654,10.481628,0.023620464,1.0,0.29832825,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22960904676998,12.983615252101]}"
2183,8.343236,9.50795315289157,0.49559334,707.1067811865476,10.843236,0.013346623,1.0,0.5827161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23053105992251,12.983617982115854]}"
2184,8.211745,9.557550811989977,0.3739922,640.3124237432849,10.711745,0.0123938685,0.8454988835169611,0.53613293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23145307328558,12.983620708862194]}"
2185,7.951375,10.942357474364197,0.23868757,583.0951894845301,10.451375,0.07967695,0.07321410872692115,0.83201873,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23237508685895,12.983623432340012]}"
2186,9.429313,8.411160376470004,0.19188271,538.5164807134504,11.432981,0.011937264,0.06496264292592,1.3171487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23329710064235,12.983626152549308]}"
2187,9.632197,8.389008383052351,0.1447466,509.9019513592784,11.332197,0.008858039,0.024989444374492888,1.2640731,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23421911463554,12.98362886949008]}"
2188,8.486838,9.14043431862873,0.16798879,500.0,10.259572,0.019890808,0.016659622959284876,1.3008562,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23514112883825,12.98363158316232]}"
2189,6.5390477,9.877699701864211,0.21342865,509.9019513592784,8.8838415,0.03418011,0.4131096053278818,1.136929,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23606314325025,12.983634293566027]}"
2190,5.9206395,9.481670254448721,0.34924167,538.5164807134504,8.82064,0.027976109,0.9748082603166497,1.2990847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23698515787127,12.983637000701199]}"
2191,5.30487,9.023560680603204,0.3967843,583.0951894845301,8.20487,0.020490076,0.9346192338138438,1.4400842,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23790717270109,12.983639704567828]}"
2192,4.3318887,9.397274516846688,0.43948862,640.3124237432849,7.231889,0.021625705,1.0,1.1566204,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23882918773941,12.983642405165917]}"
2193,3.0769887,10.525249932472091,0.4945563,707.1067811865476,5.976989,0.06158611,1.0,0.87765473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.239751202986,12.983645102495457]}"
2194,2.4387898,10.718795214550916,0.4881408,781.0249675906654,5.33879,0.026586533,1.0,0.31431898,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24067321844063,12.983647796556445]}"
2195,2.0479536,10.978599732830077,0.4606853,860.2325267042627,5.469896,0.014676745,1.0,0.15801314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24159523410302,12.983650487348882]}"
2196,1.9436115,10.13907460594846,0.4603492,943.3981132056604,5.7194767,0.008399756,1.0,0.21716532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24251724997292,12.983653174872762]}"
2197,1.6235976,9.515190677260705,0.37158066,1029.5630140987,5.0235977,0.2058922,0.868694734764473,0.6868299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24343926605009,12.98365585912808]}"
2198,0.4085713,11.70501974486618,0.19947787,1118.033988749895,3.8085713,1.5591173,0.6517588746849606,0.5148098,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24436128233427,12.983658540114835]}"
2199,0.46731508,12.733564447195972,0.2913856,1166.1903789690602,3.867315,1.8852662,0.8978135793997414,0.28198156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2452832988252,12.98366121783302]}"
2200,0.40586933,13.526735821985412,0.546361,1220.6555615733703,3.7173367,2.4439692,1.0,0.30753785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24620531552264,12.983663892282639]}"
2201,0.5641519,11.750072068760304,0.23057796,1280.6248474865697,3.59834,1.096688,0.9500213533499373,0.29630378,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24712733242633,12.983666563463679]}"
2202,0.2044683,12.017478351071588,0.071918935,1345.362404707371,3.1044683,0.14885893,0.9802312235017265,0.3393471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24804934953603,12.983669231376144]}"
2203,0.42587578,11.030375767029518,0.093399994,1414.213562373095,3.3258758,0.07534853,0.5352408123180885,0.52106327,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24897136685148,12.983671896020027]}"
2204,1.0301862,9.428693930358381,0.09739061,1486.6068747318507,3.9301863,0.015630681,0.07532478066545753,0.75751966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24989338437241,12.983674557395327]}"
2205,1.3858647,8.62168446452357,0.23422298,1562.0499351813307,5.166499,0.0084388675,0.31980973078545827,1.0164096,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25081540209861,12.983677215502038]}"
2206,1.1909077,9.51901049976791,0.3665101,1640.1219466856726,4.9909077,0.104988806,0.6699187544323688,0.9964249,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2517374200298,12.98367987034016]}"
2207,0.16499667,12.387248345713848,0.3091762,1720.4650534085254,3.9649966,1.0877357,0.5547621059684607,0.616566,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25265943816572,12.983682521909683]}"
2208,0.81280833,11.772166078216905,0.35706198,1649.2422502470642,4.612808,1.010237,0.6007372466197055,0.8939897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25358145650614,12.983685170210613]}"
2209,3.0635533,9.411841588175838,0.4371033,1552.4174696260025,6.8635535,0.025779873,0.763655101198057,1.0843369,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25450347505078,12.98368781524294]}"
2210,4.437636,10.0770319525547,0.43373922,1456.0219778561036,8.237636,0.02659781,0.8675657966804925,0.6383679,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25542549379942,12.983690457006661]}"
2211,4.982432,9.965684472450393,0.4545721,1360.1470508735445,8.782432,0.0119610485,0.9583513402890207,0.3287579,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25634751275177,12.983693095501776]}"
2212,3.5070517,10.360772309595589,0.34644657,1264.9110640673518,9.0433035,0.008333546,0.7366844278336866,0.1761594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25726953190762,12.98369573072828]}"
2213,2.336987,9.857720498684277,0.3751464,1170.4699910719626,8.536987,0.012219914,0.6824691019021627,0.46386075,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2581915512667,12.983698362686168]}"
2214,1.6781064,11.186694216883964,0.3199703,1077.0329614269008,7.8781066,0.08275226,1.0,0.349646,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25911357082876,12.983700991375438]}"
2215,1.9730074,11.590787100716465,0.37442365,984.8857801796104,8.055349,0.057959937,1.0,0.19261856,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26003559059353,12.983703616796088]}"
2216,4.8595047,10.418457700342742,0.47698793,894.4271909999159,8.285087,0.008333546,1.0,0.1644207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26095761056077,12.983706238948113]}"
2217,4.8450136,11.049080975733142,0.49332634,800.0,8.251111,0.008333546,1.0,0.07960507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26187963073023,12.983708857831509]}"
2218,6.226184,10.900733472907662,0.4164546,700.0,8.386922,0.00998131,0.7526347012042468,0.11124087,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26280165110165,12.983711473446276]}"
2219,8.468722,10.643171374047817,0.32320845,600.0,8.468722,0.02389707,0.46408165402806584,0.37767446,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2637236716748,12.983714085792405]}"
2220,9.169991,10.278448817832675,0.43572184,500.0,9.169991,0.020309856,0.9486681248799095,0.53978246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2646456924494,12.9837166948699]}"
2221,8.596085,9.071742596856403,0.45154673,400.0,8.596085,0.010963042,1.0,1.1028273,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26556771342521,12.983719300678752]}"
2222,6.529054,9.534557922774177,0.48156527,300.0,6.529054,0.012219348,0.9760910451278506,0.987261,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26648973460198,12.983721903218958]}"
2223,6.0872555,9.095495368730564,0.46162087,200.0,6.0872555,0.020608338,0.9771466980808843,1.565733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26741175597947,12.983724502490517]}"
2224,3.3530908,7.537291187396494,0.29775873,100.0,3.3530908,0.008337988,1.0,2.8266096,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2683337775574,12.983727098493427]}"
2225,0.7980997,13.214200323758837,0.22606976,1649.2422502470642,7.9981,2.146081,0.6067986971577396,1.1139462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19641381004264,12.984418978085154]}"
2226,1.9959465,10.401855907546903,0.3391961,1552.4174696260025,9.195947,0.63344157,0.8559903125679702,1.0025618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.1973358187806,12.984421825969248]}"
2227,3.332147,10.551474667873157,0.4591788,1456.0219778561036,10.532147,0.052761793,0.9314157708042106,0.61501014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.19825782773819,12.984424670584719]}"
