system:index,HAND,TWI,builtup,dist_water,elevation,flow_accum,impervious,slope,lon,lat,log_flow_accum,flood_haz
17614,1.5640957,10.405061658622094,0.26482382,3255.764119219941,8.864096,0.024083149,0.9133932907685812,0.47545165,80.24767218977644,13.108447463603587,0.0237977235160711,2.0
17615,1.2656964,11.079138147041052,0.24398531,3354.101966249684,8.565697,0.027234122,0.7423962830283071,0.2678405,80.24859466944676,13.108450154732742,0.0268698718597828,4.0
17616,1.1011959,11.449888306580853,0.27872267,3452.5353003264136,8.4011965,0.044126112,0.9417203777185432,0.289078,80.24951714932308,13.108452842560826,0.0431802790999506,4.0
17617,0.5651049,11.737937712285646,0.21780996,3551.056180912941,7.865105,0.07992204,0.9365772979502844,0.38081393,80.25043962940514,13.108455527087836,0.0768888533454672,5.0
17618,0.1688245,13.00610212019742,0.11472279,3649.657518178932,7.468825,0.2670021,0.8381988638345478,0.28829864,80.25136210969269,13.108458208313769,0.2366535587961919,5.0
17619,0.16389333,11.44323405479874,0.07994203,3748.332962798263,7.4638934,0.115857966,0.4938122299253495,0.35175988,80.25228459018547,13.108460886238616,0.1096235852502089,5.0
17620,0.0681918,14.204067408381686,0.1278817,3832.75357934736,7.368192,0.41810977,0.6182868148939402,0.12846638,80.25320707088322,13.10846356086238,0.349324836961466,5.0
17621,0.09355631,14.12352057225192,0.16133466,3807.886552931954,7.3326063,0.49115095,0.741065714263474,0.14376022,80.25412955178571,13.108466232185052,0.399548271436101,5.0
17622,0.0,14.517475565329365,0.13091855,3785.49864614954,6.887512,0.6670363,0.5541162227020667,0.2110991,80.25505203289266,13.108468900206637,0.5110473791764422,5.0
17623,0.028262872,15.498241693425364,0.1636447,3765.634076752546,6.7282634,1.2475909,0.723583721050752,0.093325235,80.25597451420383,13.10847156492712,0.8098589314845848,5.0
17624,0.16618551,11.27407097454858,0.24436119,3748.332962798263,6.7972865,0.25657183,0.7235836629825005,0.16940583,80.25689699571898,13.108474226346509,0.2283872431005428,2.0
17625,0.12849726,12.634394320999624,0.30414152,3733.630940518894,6.6238303,0.63541555,0.7206084069260341,0.16387829,80.25781947743785,13.10847688446479,0.4918969310776909,1.0
17626,0.070178874,13.450941433100814,0.26416463,3721.558813185679,6.5542254,0.6414794,0.6087059102721201,0.12035817,80.25874195936017,13.108479539281968,0.4955979083833538,2.0
17627,0.16957739,11.341401336313758,0.30228758,3712.142238654117,6.5695777,0.016594063,0.9343151410478509,0.10039738,80.25966444148571,13.108482190798036,0.0164578859585263,2.0
17628,1.5041168,11.30556393941782,0.5594407,3705.401462729781,6.5659304,0.008329424,1.0,0.050065428,80.2605869238142,13.108484839012991,0.008294925782386,2.0
17629,2.0670106,11.393260719714522,0.67821485,3701.351104664349,6.567011,0.019344494,0.980476130612095,0.12726678,80.2615094063454,13.108487483926837,0.0191597677650866,1.0
17630,2.3043492,10.899576435740316,0.4365234,3700.0,6.804349,0.018069379,0.9575738191585864,0.14807048,80.26243188907904,13.108490125539554,0.0179080680654033,1.0
17631,2.31579,10.822501901470998,0.49431545,3700.0,6.8157897,0.044690248,0.8298640498954797,0.20524244,80.26335437201489,13.108492763851151,0.0437204280805111,1.0
17632,2.0473695,12.918667046592065,0.609912,3640.0549446402592,6.51394,0.15682521,1.0,0.16698258,80.26427685515269,13.108495398861626,0.1456793650618036,1.0
17633,2.098317,12.530773397104795,0.53258,3546.82957019364,6.4028482,0.1363228,1.0,0.18290399,80.26519933849218,13.108498030570969,0.1277974348641713,1.0
17634,1.5420839,11.22450018173426,0.3209931,3453.9832078341087,6.0420837,0.056862425,0.9073556825642636,0.24606097,80.2661218220331,13.108500658979178,0.055304542314884,1.0
17635,1.2101994,11.259159105412786,0.11346009,3361.547262794322,5.7101994,0.06166925,0.8185961110641208,0.19545694,80.26704430577522,13.108503284086252,0.0598424336340612,1.0
17636,1.3149502,11.01628660079892,0.043796767,3269.5565448543634,5.8149505,0.03260798,0.6673319380372407,0.12176062,80.26796678971826,13.108505905892184,0.0320876214986287,1.0
17637,1.3912122,9.831663818309732,0.05703796,3178.0497164141407,5.891212,0.008329423,0.7130918655636299,0.3440843,80.268889273862,13.108508524396978,0.0082949247906466,1.0
17638,0.4617828,10.51078486969928,0.037693694,3087.0698080866264,4.961783,0.033690058,0.9987530912861576,0.4322938,80.26981175820616,13.108511139600624,0.0331349806685226,1.0
17639,0.024762832,17.214477102958114,0.062133733,2996.6648127543394,4.5247626,25.556864,0.1685002476532823,0.29134214,80.27073424275049,13.10851375150312,3.279288245347995,1.0
17640,0.21701257,13.18434338774016,0.2135078,2906.8883707497266,5.333861,1.176248,0.6998948042856034,0.4683623,80.27165672749474,13.108516360104463,0.7776022930877774,1.0
17641,0.85880935,11.315673428094772,0.28158176,2817.8005607210744,5.596121,0.24344464,0.9570893897042444,0.19604933,80.27257921243867,13.108518965404652,0.2178854637688925,1.0
17642,0.13723443,11.549652727508844,0.030778045,2729.4688127912364,5.4372344,0.3538111,0.398481502635181,0.30558786,80.27350169758202,13.10852156740368,0.30292365220191,1.0
17643,0.0828528,14.761393338199255,0.038383666,2640.075756488817,5.382853,0.78975844,0.1446364091652639,0.14991309,80.27442418292453,13.108524166101544,0.5820806610254604,1.0
17644,0.15468085,13.924169493273425,0.039424177,2549.5097567963926,5.454681,0.7644925,0.0289610036774377,0.36736873,80.27534666846596,13.108526761498243,0.5678631136282631,1.0
17645,1.0823547,10.729666490873564,0.0107299285,2451.5301344262525,6.3823547,0.35871267,0.0,0.72057104,80.27626915420603,13.108529353593774,0.3065376852948221,1.0
17646,1.8673455,8.97342829863781,0.04764173,2353.720459187964,7.6321588,0.008329423,0.3696600289983055,0.6874286,80.27719164014452,13.108531942388131,0.0082949247906466,1.0
17647,2.206043,9.53182426933843,0.112582184,2256.102834535696,8.240466,0.009811435,0.1744464393646639,0.45095477,80.27811412628117,13.108534527881314,0.0097636154031213,1.0
17648,3.151784,10.052340560982454,0.23815672,2158.7033144922902,8.481477,0.015523026,0.7678788008223479,0.3438937,80.27903661261571,13.108537110073316,0.015403776325798,1.0
17649,3.7755523,9.6943912135158,0.25468993,2061.5528128088304,8.975553,0.008734358,0.992378761679277,0.34517398,80.2799590991479,13.108539688964138,0.0086964341620946,1.0
17650,1.8389481,9.797482775299184,0.27122226,1964.68827043885,9.436653,0.008329422,0.9750233299659444,0.3011916,80.2808815858775,13.108542264553773,0.0082949237989072,1.0
17651,1.874593,10.423605362230756,0.31087467,1868.154169226941,9.596337,0.009026576,0.9135050586445008,0.17017499,80.2818040728042,13.10854483684222,0.0089860799740627,
17652,1.0291679,11.361833347525678,0.24999142,1772.004514666935,9.429169,0.036687467,0.6755425399570877,0.15290429,80.28272655992784,13.108547405829473,0.0360305019519661,
17653,1.0802871,11.79391188307555,0.32078388,1676.3054614240211,9.480288,0.07232376,0.9347560670726356,0.19957532,80.28364904724809,13.10854997151553,0.0698280319766563,
17654,1.2013413,11.430526085540068,0.3996621,1581.1388300841895,9.601342,0.02927083,0.9934208197398444,0.16278487,80.28457153476472,13.10855253390039,0.0288506195004965,
17655,1.9674042,11.035486442741924,0.34946045,1486.606874731851,9.596729,0.01828546,0.8493625117305069,0.15453696,80.2854940224775,13.108555092984046,0.0181202913937473,
17656,2.298137,11.867593237862469,0.36111656,1392.838827718412,9.398137,0.078505106,0.8023793656536699,0.20816407,80.28641651038613,13.1085576487665,0.0755759211891354,
