system:index,LST,NDBI,NDVI,albedo,bare,bheight,builtup,dist_water,.geo
14337,42.22995076580037,-0.06594599,0.3208834,0.1595979323572938,0.0,12.508388,0.38459268,2969.8484809834995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23760002718306,13.084004663758401]}"
14338,42.41913817280147,-0.027656259,0.3188456,0.1711666619956108,0.0,13.24198,0.3274527,3041.38126514911,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.23852241373265,13.084007385945265]}"
14339,42.44369664650229,-0.033288468,0.30769402,0.1584067112573782,0.0,13.588071,0.31802547,3114.482300479487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2394448004909,13.084010104837454]}"
14340,42.34476205760125,-0.020029174,0.29290143,0.18436851093755594,0.0,13.427252,0.36342087,3189.043743820395,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2403671874576,13.084012820434964]}"
14341,41.449907331500235,-0.068640806,0.34622568,0.17075055668062644,0.0,12.573145,0.3223889,3264.9655434629017,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24128957463245,13.084015532737792]}"
14342,41.31036666499932,-0.06801318,0.36701754,0.16446670504430505,0.0,11.476155,0.37586856,3342.1549934136806,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.2422119620152,13.084018241745932]}"
14343,42.14918295319896,-0.05724946,0.36924103,0.15315579074807015,0.0,11.333972,0.46622694,3420.5262752974145,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24313434960564,13.084020947459384]}"
14344,42.35503320769981,-0.026411071,0.29942852,0.1488224971949018,0.0,12.6675825,0.3747077,3500.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24405673740347,13.084023649878146]}"
14345,41.48441224340025,-0.0990156,0.4151428,0.16433389696112602,0.0,14.0597725,0.41748238,3580.5027579936313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24497912540848,13.084026349002208]}"
14346,40.95803716339966,-0.1040337,0.4017931,0.15543493363681374,0.0,14.178177,0.4689074,3661.966684720111,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24590151362037,13.084029044831572]}"
14347,40.95364500770018,-0.11936616,0.41268983,0.15560564530020868,0.0,13.400837,0.37536287,3744.329045369811,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24682390203893,13.084031737366233]}"
14348,41.65088690750092,-0.050101668,0.32829547,0.15488878891486585,0.0,12.862978,0.42498448,3827.531841800928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24774629066387,13.084034426606188]}"
14349,42.17464720220014,-0.0065855426,0.2617061,0.17068105327267638,0.0,13.191788,0.52265507,3911.521443121589,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.24866867949497,13.084037112551433]}"
